address_name,address_url,address_price,address_price_url,address_type,address_type_url,address_rooms,address_rooms_url,address_bathrooms,address_bathrooms_url
"38 Home Villas, Donnybrook, Dublin 4",https://www.daft.ie/dublin/houses-for-sale/donnybrook/38-home-villas-donnybrook-dublin-2238842/,"€640,000",https://www.daft.ie/dublin/houses-for-sale/donnybrook/38-home-villas-donnybrook-dublin-2238842/,Terraced House,https://www.daft.ie/dublin/houses-for-sale/donnybrook/38-home-villas-donnybrook-dublin-2238842/,2,https://www.daft.ie/dublin/houses-for-sale/donnybrook/38-home-villas-donnybrook-dublin-2238842/,2,https://www.daft.ie/dublin/houses-for-sale/donnybrook/38-home-villas-donnybrook-dublin-2238842/
"Apartment 105, Block B/C, The Waterside, Dublin 4",https://www.daft.ie/dublin/apartments-for-sale/dublin-4/apartment-105-block-bc-the-waterside-dublin-4-dublin-2281904/,"€380,000",https://www.daft.ie/dublin/apartments-for-sale/dublin-4/apartment-105-block-bc-the-waterside-dublin-4-dublin-2281904/,Apartment for sale,https://www.daft.ie/dublin/apartments-for-sale/dublin-4/apartment-105-block-bc-the-waterside-dublin-4-dublin-2281904/,2,https://www.daft.ie/dublin/apartments-for-sale/dublin-4/apartment-105-block-bc-the-waterside-dublin-4-dublin-2281904/,1,https://www.daft.ie/dublin/apartments-for-sale/dublin-4/apartment-105-block-bc-the-waterside-dublin-4-dublin-2281904/
"7 Willow Field, Park Avenue, Sandymount, Dublin 4",https://www.daft.ie/dublin/houses-for-sale/sandymount/7-willow-field-park-avenue-sandymount-dublin-2284836/,"€585,000",https://www.daft.ie/dublin/houses-for-sale/sandymount/7-willow-field-park-avenue-sandymount-dublin-2284836/,End of Terrace House,https://www.daft.ie/dublin/houses-for-sale/sandymount/7-willow-field-park-avenue-sandymount-dublin-2284836/,2,https://www.daft.ie/dublin/houses-for-sale/sandymount/7-willow-field-park-avenue-sandymount-dublin-2284836/,1,https://www.daft.ie/dublin/houses-for-sale/sandymount/7-willow-field-park-avenue-sandymount-dublin-2284836/
"12 Morehampton Road, Dublin 4",https://www.daft.ie/dublin/houses-for-sale/dublin-4/12-morehampton-road-dublin-4-dublin-2232132/,Price On Application,https://www.daft.ie/dublin/houses-for-sale/dublin-4/12-morehampton-road-dublin-4-dublin-2232132/,Terraced House,https://www.daft.ie/dublin/houses-for-sale/dublin-4/12-morehampton-road-dublin-4-dublin-2232132/,4,https://www.daft.ie/dublin/houses-for-sale/dublin-4/12-morehampton-road-dublin-4-dublin-2232132/,5,https://www.daft.ie/dublin/houses-for-sale/dublin-4/12-morehampton-road-dublin-4-dublin-2232132/
"9 Fitzwilliam Quay, Ringsend, Dublin 4",https://www.daft.ie/dublin/houses-for-sale/ringsend/9-fitzwilliam-quay-ringsend-dublin-2102830/,"€899,500",https://www.daft.ie/dublin/houses-for-sale/ringsend/9-fitzwilliam-quay-ringsend-dublin-2102830/,End of Terrace House,https://www.daft.ie/dublin/houses-for-sale/ringsend/9-fitzwilliam-quay-ringsend-dublin-2102830/,4,https://www.daft.ie/dublin/houses-for-sale/ringsend/9-fitzwilliam-quay-ringsend-dublin-2102830/,4,https://www.daft.ie/dublin/houses-for-sale/ringsend/9-fitzwilliam-quay-ringsend-dublin-2102830/
"155 The Links, Elmpark Green, Merrion, Dublin 4",https://www.daft.ie/dublin/apartments-for-sale/merrion/155-the-links-elmpark-green-merrion-dublin-2096866/,"€690,000",https://www.daft.ie/dublin/apartments-for-sale/merrion/155-the-links-elmpark-green-merrion-dublin-2096866/,Apartment for sale,https://www.daft.ie/dublin/apartments-for-sale/merrion/155-the-links-elmpark-green-merrion-dublin-2096866/,3,https://www.daft.ie/dublin/apartments-for-sale/merrion/155-the-links-elmpark-green-merrion-dublin-2096866/,3,https://www.daft.ie/dublin/apartments-for-sale/merrion/155-the-links-elmpark-green-merrion-dublin-2096866/
"8 Fishermans Wharf, Ringsend, Dublin 4",https://www.daft.ie/dublin/houses-for-sale/ringsend/8-fishermans-wharf-ringsend-dublin-2232134/,"€460,000",https://www.daft.ie/dublin/houses-for-sale/ringsend/8-fishermans-wharf-ringsend-dublin-2232134/,End of Terrace House,https://www.daft.ie/dublin/houses-for-sale/ringsend/8-fishermans-wharf-ringsend-dublin-2232134/,3,https://www.daft.ie/dublin/houses-for-sale/ringsend/8-fishermans-wharf-ringsend-dublin-2232134/,1,https://www.daft.ie/dublin/houses-for-sale/ringsend/8-fishermans-wharf-ringsend-dublin-2232134/
"75A Sandymount Road, Sandymount, Dublin 4",https://www.daft.ie/dublin/houses-for-sale/sandymount/75a-sandymount-road-sandymount-dublin-2087576/,"€995,000",https://www.daft.ie/dublin/houses-for-sale/sandymount/75a-sandymount-road-sandymount-dublin-2087576/,Semi-Detached House,https://www.daft.ie/dublin/houses-for-sale/sandymount/75a-sandymount-road-sandymount-dublin-2087576/,3,https://www.daft.ie/dublin/houses-for-sale/sandymount/75a-sandymount-road-sandymount-dublin-2087576/,1,https://www.daft.ie/dublin/houses-for-sale/sandymount/75a-sandymount-road-sandymount-dublin-2087576/
"242 The Sweepstakes, Ballsbridge, Ballsbridge, Dublin 4",https://www.daft.ie/dublin/apartments-for-sale/ballsbridge/242-the-sweepstakes-ballsbridge-ballsbridge-dublin-2261953/,"€425,000",https://www.daft.ie/dublin/apartments-for-sale/ballsbridge/242-the-sweepstakes-ballsbridge-ballsbridge-dublin-2261953/,Apartment for sale,https://www.daft.ie/dublin/apartments-for-sale/ballsbridge/242-the-sweepstakes-ballsbridge-ballsbridge-dublin-2261953/,1,https://www.daft.ie/dublin/apartments-for-sale/ballsbridge/242-the-sweepstakes-ballsbridge-ballsbridge-dublin-2261953/,1,https://www.daft.ie/dublin/apartments-for-sale/ballsbridge/242-the-sweepstakes-ballsbridge-ballsbridge-dublin-2261953/
"44 Haddington Square, Beggars Bush, Haddington Road, Dublin 4",https://www.daft.ie/dublin/apartments-for-sale/dublin-4/44-haddington-square-beggars-bush-haddington-road-dublin-4-dublin-2215321/,"€450,000",https://www.daft.ie/dublin/apartments-for-sale/dublin-4/44-haddington-square-beggars-bush-haddington-road-dublin-4-dublin-2215321/,Apartment for sale,https://www.daft.ie/dublin/apartments-for-sale/dublin-4/44-haddington-square-beggars-bush-haddington-road-dublin-4-dublin-2215321/,2,https://www.daft.ie/dublin/apartments-for-sale/dublin-4/44-haddington-square-beggars-bush-haddington-road-dublin-4-dublin-2215321/,1,https://www.daft.ie/dublin/apartments-for-sale/dublin-4/44-haddington-square-beggars-bush-haddington-road-dublin-4-dublin-2215321/
"St Martin, 15 Waterloo Lane, Ballsbridge, Dublin 4",https://www.daft.ie/dublin/houses-for-sale/ballsbridge/st-martin-15-waterloo-lane-ballsbridge-dublin-2275207/,"€1,095,000",https://www.daft.ie/dublin/houses-for-sale/ballsbridge/st-martin-15-waterloo-lane-ballsbridge-dublin-2275207/,Detached House,https://www.daft.ie/dublin/houses-for-sale/ballsbridge/st-martin-15-waterloo-lane-ballsbridge-dublin-2275207/,3,https://www.daft.ie/dublin/houses-for-sale/ballsbridge/st-martin-15-waterloo-lane-ballsbridge-dublin-2275207/,2,https://www.daft.ie/dublin/houses-for-sale/ballsbridge/st-martin-15-waterloo-lane-ballsbridge-dublin-2275207/
"46 Simmonscourt Castle, Simmonscourt Road, Ballsbridge, Dublin 4",https://www.daft.ie/dublin/houses-for-sale/ballsbridge/46-simmonscourt-castle-simmonscourt-road-ballsbridge-dublin-2223253/,"€595,000",https://www.daft.ie/dublin/houses-for-sale/ballsbridge/46-simmonscourt-castle-simmonscourt-road-ballsbridge-dublin-2223253/,Terraced House,https://www.daft.ie/dublin/houses-for-sale/ballsbridge/46-simmonscourt-castle-simmonscourt-road-ballsbridge-dublin-2223253/,2,https://www.daft.ie/dublin/houses-for-sale/ballsbridge/46-simmonscourt-castle-simmonscourt-road-ballsbridge-dublin-2223253/,2,https://www.daft.ie/dublin/houses-for-sale/ballsbridge/46-simmonscourt-castle-simmonscourt-road-ballsbridge-dublin-2223253/
"34 Home Villas, Donnybrook, Dublin 4",https://www.daft.ie/dublin/houses-for-sale/donnybrook/34-home-villas-donnybrook-dublin-2260676/,"€650,000",https://www.daft.ie/dublin/houses-for-sale/donnybrook/34-home-villas-donnybrook-dublin-2260676/,Terraced House,https://www.daft.ie/dublin/houses-for-sale/donnybrook/34-home-villas-donnybrook-dublin-2260676/,2,https://www.daft.ie/dublin/houses-for-sale/donnybrook/34-home-villas-donnybrook-dublin-2260676/,1,https://www.daft.ie/dublin/houses-for-sale/donnybrook/34-home-villas-donnybrook-dublin-2260676/
"The Bungalow, Rere Of 50-52 Nutley Road, Donnybrook, Dublin 4",https://www.daft.ie/dublin/bungalows-for-sale/donnybrook/rere-of-50-52-nutley-road-donnybrook-dublin-2297813/,"€1,000,000",https://www.daft.ie/dublin/bungalows-for-sale/donnybrook/rere-of-50-52-nutley-road-donnybrook-dublin-2297813/,Detached House,https://www.daft.ie/dublin/bungalows-for-sale/donnybrook/rere-of-50-52-nutley-road-donnybrook-dublin-2297813/,3,https://www.daft.ie/dublin/bungalows-for-sale/donnybrook/rere-of-50-52-nutley-road-donnybrook-dublin-2297813/,2,https://www.daft.ie/dublin/bungalows-for-sale/donnybrook/rere-of-50-52-nutley-road-donnybrook-dublin-2297813/
"5 Railway Cottages, Sandymount, Dublin 4",https://www.daft.ie/dublin/houses-for-sale/sandymount/5-railway-cottages-sandymount-dublin-2297638/,"€750,000",https://www.daft.ie/dublin/houses-for-sale/sandymount/5-railway-cottages-sandymount-dublin-2297638/,Semi-Detached House,https://www.daft.ie/dublin/houses-for-sale/sandymount/5-railway-cottages-sandymount-dublin-2297638/,3,https://www.daft.ie/dublin/houses-for-sale/sandymount/5-railway-cottages-sandymount-dublin-2297638/,2,https://www.daft.ie/dublin/houses-for-sale/sandymount/5-railway-cottages-sandymount-dublin-2297638/
"35 Pembroke Gardens, Ballsbridge, Dublin 4",https://www.daft.ie/dublin/houses-for-sale/dublin-4/35-pembroke-gardens-ballsbridge-dublin-4-dublin-2296663/,"€595,000",https://www.daft.ie/dublin/houses-for-sale/dublin-4/35-pembroke-gardens-ballsbridge-dublin-4-dublin-2296663/,Terraced House,https://www.daft.ie/dublin/houses-for-sale/dublin-4/35-pembroke-gardens-ballsbridge-dublin-4-dublin-2296663/,2,https://www.daft.ie/dublin/houses-for-sale/dublin-4/35-pembroke-gardens-ballsbridge-dublin-4-dublin-2296663/,1,https://www.daft.ie/dublin/houses-for-sale/dublin-4/35-pembroke-gardens-ballsbridge-dublin-4-dublin-2296663/
"Apartment 1, Fortlands, Herbert Avenue, Ballsbridge, Dublin 4",https://www.daft.ie/dublin/apartments-for-sale/ballsbridge/apartment-1-fortlands-herbert-avenue-ballsbridge-dublin-2296647/,"€545,000",https://www.daft.ie/dublin/apartments-for-sale/ballsbridge/apartment-1-fortlands-herbert-avenue-ballsbridge-dublin-2296647/,Apartment for sale,https://www.daft.ie/dublin/apartments-for-sale/ballsbridge/apartment-1-fortlands-herbert-avenue-ballsbridge-dublin-2296647/,2,https://www.daft.ie/dublin/apartments-for-sale/ballsbridge/apartment-1-fortlands-herbert-avenue-ballsbridge-dublin-2296647/,1,https://www.daft.ie/dublin/apartments-for-sale/ballsbridge/apartment-1-fortlands-herbert-avenue-ballsbridge-dublin-2296647/
